"Date","Site.Name","RiverMile","RiverKM","Temperature.C.Daily","Turbidity.FNU.Daily","Season","Year"
2004-03-30,"Above_LCR",61,NA,10.3195833333333,NA,"spring","2004"
2004-03-30,"Below_LCR",66,NA,10.6665625,NA,"spring","2004"
2004-03-30,"Diamond",225,NA,12.9072916666667,NA,"spring","2004"
2004-03-30,"Glen_Canyon_Dam",-16,NA,9.02638888888889,NA,"spring","2004"
2004-03-30,"LCR",NA,1,17.3538541666667,NA,"spring","2004"
2004-03-30,"Lee's_Ferry",0,NA,9.10763888888889,NA,"spring","2004"
2004-03-30,"National",167,NA,11.8692708333333,NA,"spring","2004"
2004-03-30,"Phantom",88,NA,11.0361458333333,NA,"spring","2004"
2004-03-30,"Spencer",246,NA,12.9245588235294,NA,"spring","2004"
2004-03-31,"30-mile",30,NA,9.6390625,NA,"spring","2004"
2004-03-31,"Above_LCR",61,NA,10.1933333333333,NA,"spring","2004"
2004-03-31,"Below_LCR",66,NA,10.5516666666667,NA,"spring","2004"
2004-03-31,"Diamond",225,NA,13.1183333333333,NA,"spring","2004"
2004-03-31,"Glen_Canyon_Dam",-16,NA,8.99805555555556,NA,"spring","2004"
2004-03-31,"LCR",NA,1,17.9608333333333,NA,"spring","2004"
2004-03-31,"Lee's_Ferry",0,NA,9.09149305555556,NA,"spring","2004"
2004-03-31,"National",167,NA,12.230625,NA,"spring","2004"
2004-03-31,"Phantom",88,NA,11.06125,NA,"spring","2004"
2004-03-31,"Spencer",246,NA,13.7473333333333,NA,"spring","2004"
2004-04-01,"30-mile",30,NA,9.679375,NA,"spring","2004"
2004-04-01,"Above_LCR",61,NA,10.2307291666667,NA,"spring","2004"
2004-04-01,"Below_LCR",66,NA,10.5347916666667,NA,"spring","2004"
2004-04-01,"Diamond",225,NA,13.2848958333333,NA,"spring","2004"
2004-04-01,"Glen_Canyon_Dam",-16,NA,9.03652777777778,NA,"spring","2004"
2004-04-01,"LCR",NA,1,18.5448958333333,NA,"spring","2004"
